Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Home_team_wins
"Tue, Dec 22, 2020",Golden State Warriors,99,Brooklyn Nets,125,1
"Tue, Dec 22, 2020",Los Angeles Clippers,116,Los Angeles Lakers,109,0
"Wed, Dec 23, 2020",Charlotte Hornets,114,Cleveland Cavaliers,121,1
"Wed, Dec 23, 2020",New York Knicks,107,Indiana Pacers,121,1
"Wed, Dec 23, 2020",Miami Heat,107,Orlando Magic,113,1
"Wed, Dec 23, 2020",Washington Wizards,107,Philadelphia 76ers,113,1
"Wed, Dec 23, 2020",New Orleans Pelicans,113,Toronto Raptors,99,0
"Wed, Dec 23, 2020",Milwaukee Bucks,121,Boston Celtics,122,1
"Wed, Dec 23, 2020",Atlanta Hawks,124,Chicago Bulls,104,0
"Wed, Dec 23, 2020",San Antonio Spurs,131,Memphis Grizzlies,119,0
"Wed, Dec 23, 2020",Detroit Pistons,101,Minnesota Timberwolves,111,1
"Wed, Dec 23, 2020",Sacramento Kings,124,Denver Nuggets,122,0
"Wed, Dec 23, 2020",Utah Jazz,120,Portland Trail Blazers,100,0
"Wed, Dec 23, 2020",Dallas Mavericks,102,Phoenix Suns,106,1
"Fri, Dec 25, 2020",New Orleans Pelicans,98,Miami Heat,111,1
"Fri, Dec 25, 2020",Golden State Warriors,99,Milwaukee Bucks,138,1
"Fri, Dec 25, 2020",Brooklyn Nets,123,Boston Celtics,95,0
"Fri, Dec 25, 2020",Dallas Mavericks,115,Los Angeles Lakers,138,1
"Fri, Dec 25, 2020",Los Angeles Clippers,121,Denver Nuggets,108,0
"Sat, Dec 26, 2020",Atlanta Hawks,122,Memphis Grizzlies,112,0
"Sat, Dec 26, 2020",Oklahoma City Thunder,109,Charlotte Hornets,107,0
"Sat, Dec 26, 2020",Cleveland Cavaliers,128,Detroit Pistons,119,0
"Sat, Dec 26, 2020",Orlando Magic,130,Washington Wizards,120,0
"Sat, Dec 26, 2020",Philadelphia 76ers,109,New York Knicks,89,0
"Sat, Dec 26, 2020",Indiana Pacers,125,Chicago Bulls,106,0
"Sat, Dec 26, 2020",Toronto Raptors,114,San Antonio Spurs,119,1
"Sat, Dec 26, 2020",Minnesota Timberwolves,116,Utah Jazz,111,0
"Sat, Dec 26, 2020",Houston Rockets,126,Portland Trail Blazers,128,1
"Sat, Dec 26, 2020",Phoenix Suns,103,Sacramento Kings,106,1
"Sun, Dec 27, 2020",Dallas Mavericks,124,Los Angeles Clippers,73,0
"Sun, Dec 27, 2020",San Antonio Spurs,95,New Orleans Pelicans,98,1
"Sun, Dec 27, 2020",Orlando Magic,120,Washington Wizards,113,0
"Sun, Dec 27, 2020",Brooklyn Nets,104,Charlotte Hornets,106,1
"Sun, Dec 27, 2020",Philadelphia 76ers,94,Cleveland Cavaliers,118,1
"Sun, Dec 27, 2020",Milwaukee Bucks,110,New York Knicks,130,1
"Sun, Dec 27, 2020",Boston Celtics,107,Indiana Pacers,108,1
"Sun, Dec 27, 2020",Golden State Warriors,129,Chicago Bulls,128,0
"Sun, Dec 27, 2020",Phoenix Suns,116,Sacramento Kings,100,0
"Sun, Dec 27, 2020",Minnesota Timberwolves,91,Los Angeles Lakers,127,1
"Mon, Dec 28, 2020",Memphis Grizzlies,116,Brooklyn Nets,111,0
"Mon, Dec 28, 2020",Detroit Pistons,120,Atlanta Hawks,128,1
"Mon, Dec 28, 2020",Utah Jazz,110,Oklahoma City Thunder,109,0
"Mon, Dec 28, 2020",Houston Rockets,111,Denver Nuggets,124,1
"Mon, Dec 28, 2020",Portland Trail Blazers,115,Los Angeles Lakers,107,0
"Tue, Dec 29, 2020",New York Knicks,95,Cleveland Cavaliers,86,0
"Tue, Dec 29, 2020",Golden State Warriors,116,Detroit Pistons,106,0
"Tue, Dec 29, 2020",Boston Celtics,116,Indiana Pacers,111,0
"Tue, Dec 29, 2020",Chicago Bulls,115,Washington Wizards,107,0
"Tue, Dec 29, 2020",Toronto Raptors,93,Philadelphia 76ers,100,1
"Tue, Dec 29, 2020",Milwaukee Bucks,144,Miami Heat,97,0
"Tue, Dec 29, 2020",Orlando Magic,118,Oklahoma City Thunder,107,0
"Tue, Dec 29, 2020",New Orleans Pelicans,86,Phoenix Suns,111,1
"Tue, Dec 29, 2020",Denver Nuggets,115,Sacramento Kings,125,1
"Tue, Dec 29, 2020",Minnesota Timberwolves,101,Los Angeles Clippers,124,1
"Wed, Dec 30, 2020",Milwaukee Bucks,108,Miami Heat,119,1
"Wed, Dec 30, 2020",Atlanta Hawks,141,Brooklyn Nets,145,1
"Wed, Dec 30, 2020",Memphis Grizzlies,107,Boston Celtics,126,1
"Wed, Dec 30, 2020",Charlotte Hornets,118,Dallas Mavericks,99,0
"Wed, Dec 30, 2020",Los Angeles Lakers,121,San Antonio Spurs,107,0
"Wed, Dec 30, 2020",Portland Trail Blazers,105,Los Angeles Clippers,128,1
"Thu, Dec 31, 2020",Cleveland Cavaliers,99,Indiana Pacers,119,1
"Thu, Dec 31, 2020",Chicago Bulls,133,Washington Wizards,130,0
"Thu, Dec 31, 2020",Philadelphia 76ers,116,Orlando Magic,92,0
"Thu, Dec 31, 2020",Sacramento Kings,119,Houston Rockets,122,1
"Thu, Dec 31, 2020",New York Knicks,83,Toronto Raptors,100,1
"Thu, Dec 31, 2020",New Orleans Pelicans,113,Oklahoma City Thunder,80,0
"Thu, Dec 31, 2020",Phoenix Suns,106,Utah Jazz,95,0
"Fri, Jan 1, 2021",Memphis Grizzlies,108,Charlotte Hornets,93,0
"Fri, Jan 1, 2021",Miami Heat,83,Dallas Mavericks,93,1
"Fri, Jan 1, 2021",Boston Celtics,93,Detroit Pistons,96,1
"Fri, Jan 1, 2021",Atlanta Hawks,114,Brooklyn Nets,96,0
"Fri, Jan 1, 2021",Chicago Bulls,96,Milwaukee Bucks,126,1
"Fri, Jan 1, 2021",Washington Wizards,130,Minnesota Timberwolves,109,0
"Fri, Jan 1, 2021",Los Angeles Lakers,109,San Antonio Spurs,103,0
"Fri, Jan 1, 2021",Phoenix Suns,106,Denver Nuggets,103,0
"Fri, Jan 1, 2021",Los Angeles Clippers,100,Utah Jazz,106,1
"Fri, Jan 1, 2021",Portland Trail Blazers,123,Golden State Warriors,98,0
"Sat, Jan 2, 2021",Sacramento Kings,94,Houston Rockets,102,1
"Sat, Jan 2, 2021",New York Knicks,106,Indiana Pacers,102,0
"Sat, Jan 2, 2021",Oklahoma City Thunder,108,Orlando Magic,99,0
"Sat, Jan 2, 2021",Charlotte Hornets,112,Philadelphia 76ers,127,1
"Sat, Jan 2, 2021",Cleveland Cavaliers,96,Atlanta Hawks,91,0
"Sat, Jan 2, 2021",Toronto Raptors,116,New Orleans Pelicans,120,1
"Sun, Jan 3, 2021",Boston Celtics,122,Detroit Pistons,120,0
"Sun, Jan 3, 2021",Washington Wizards,123,Brooklyn Nets,122,0
"Sun, Jan 3, 2021",Los Angeles Lakers,108,Memphis Grizzlies,94,0
"Sun, Jan 3, 2021",Denver Nuggets,124,Minnesota Timberwolves,109,0
"Sun, Jan 3, 2021",Utah Jazz,130,San Antonio Spurs,109,0
"Sun, Jan 3, 2021",Dallas Mavericks,108,Chicago Bulls,118,1
"Sun, Jan 3, 2021",Los Angeles Clippers,112,Phoenix Suns,107,0
"Sun, Jan 3, 2021",Portland Trail Blazers,122,Golden State Warriors,137,1
"Mon, Jan 4, 2021",Cleveland Cavaliers,83,Orlando Magic,103,1
"Mon, Jan 4, 2021",Charlotte Hornets,101,Philadelphia 76ers,118,1
"Mon, Jan 4, 2021",New York Knicks,113,Atlanta Hawks,108,0
"Mon, Jan 4, 2021",Oklahoma City Thunder,90,Miami Heat,118,1
"Mon, Jan 4, 2021",Boston Celtics,126,Toronto Raptors,114,0
"Mon, Jan 4, 2021",Dallas Mavericks,113,Houston Rockets,100,0
"Mon, Jan 4, 2021",Detroit Pistons,115,Milwaukee Bucks,125,1
"Mon, Jan 4, 2021",Indiana Pacers,118,New Orleans Pelicans,116,0
"Mon, Jan 4, 2021",Sacramento Kings,106,Golden State Warriors,137,1
"Tue, Jan 5, 2021",Utah Jazz,96,Brooklyn Nets,130,1
"Tue, Jan 5, 2021",Los Angeles Lakers,94,Memphis Grizzlies,92,0
"Tue, Jan 5, 2021",Minnesota Timberwolves,116,Denver Nuggets,123,1
"Tue, Jan 5, 2021",San Antonio Spurs,116,Los Angeles Clippers,113,0
"Tue, Jan 5, 2021",Chicago Bulls,111,Portland Trail Blazers,108,0
"Wed, Jan 6, 2021",Houston Rockets,107,Indiana Pacers,114,1
"Wed, Jan 6, 2021",Cleveland Cavaliers,94,Orlando Magic,105,1
"Wed, Jan 6, 2021",Washington Wizards,136,Philadelphia 76ers,141,1
"Wed, Jan 6, 2021",Charlotte Hornets,102,Atlanta Hawks,94,0
"Wed, Jan 6, 2021",Boston Celtics,107,Miami Heat,105,0
"Wed, Jan 6, 2021",Utah Jazz,100,New York Knicks,112,1
"Wed, Jan 6, 2021",Detroit Pistons,115,Milwaukee Bucks,130,1
"Wed, Jan 6, 2021",Oklahoma City Thunder,111,New Orleans Pelicans,110,0
"Wed, Jan 6, 2021",Toronto Raptors,115,Phoenix Suns,123,1
"Wed, Jan 6, 2021",Los Angeles Clippers,108,Golden State Warriors,101,0
"Wed, Jan 6, 2021",Chicago Bulls,124,Sacramento Kings,128,1
"Thu, Jan 7, 2021",Philadelphia 76ers,109,Brooklyn Nets,122,1
"Thu, Jan 7, 2021",Cleveland Cavaliers,94,Memphis Grizzlies,90,0
"Thu, Jan 7, 2021",Dallas Mavericks,124,Denver Nuggets,117,0
"Thu, Jan 7, 2021",San Antonio Spurs,118,Los Angeles Lakers,109,0
"Thu, Jan 7, 2021",Minnesota Timberwolves,117,Portland Trail Blazers,135,1
"Fri, Jan 8, 2021",Phoenix Suns,105,Detroit Pistons,110,1
"Fri, Jan 8, 2021",Washington Wizards,107,Boston Celtics,116,1
"Fri, Jan 8, 2021",Charlotte Hornets,118,New Orleans Pelicans,110,0
"Fri, Jan 8, 2021",Oklahoma City Thunder,101,New York Knicks,89,0
"Fri, Jan 8, 2021",Orlando Magic,90,Houston Rockets,132,1
"Fri, Jan 8, 2021",Brooklyn Nets,110,Memphis Grizzlies,115,1
"Fri, Jan 8, 2021",Utah Jazz,131,Milwaukee Bucks,118,0
"Fri, Jan 8, 2021",Los Angeles Clippers,105,Golden State Warriors,115,1
"Fri, Jan 8, 2021",Chicago Bulls,115,Los Angeles Lakers,117,1
"Fri, Jan 8, 2021",Toronto Raptors,144,Sacramento Kings,123,0
"Sat, Jan 9, 2021",Denver Nuggets,115,Philadelphia 76ers,103,0
"Sat, Jan 9, 2021",Atlanta Hawks,105,Charlotte Hornets,113,1
"Sat, Jan 9, 2021",Phoenix Suns,125,Indiana Pacers,117,0
"Sat, Jan 9, 2021",Miami Heat,128,Washington Wizards,124,0
"Sat, Jan 9, 2021",Cleveland Cavaliers,90,Milwaukee Bucks,100,1
"Sat, Jan 9, 2021",San Antonio Spurs,125,Minnesota Timberwolves,122,0
"Sat, Jan 9, 2021",Orlando Magic,98,Dallas Mavericks,112,1
"Sat, Jan 9, 2021",Portland Trail Blazers,125,Sacramento Kings,99,0
"Sun, Jan 10, 2021",Utah Jazz,96,Detroit Pistons,86,0
"Sun, Jan 10, 2021",Chicago Bulls,127,Los Angeles Clippers,130,1
"Sun, Jan 10, 2021",Oklahoma City Thunder,129,Brooklyn Nets,116,0
"Sun, Jan 10, 2021",Denver Nuggets,114,New York Knicks,89,0
"Sun, Jan 10, 2021",Los Angeles Lakers,120,Houston Rockets,102,0
"Sun, Jan 10, 2021",San Antonio Spurs,88,Minnesota Timberwolves,96,1
"Sun, Jan 10, 2021",Toronto Raptors,105,Golden State Warriors,106,1
"Mon, Jan 11, 2021",New York Knicks,88,Charlotte Hornets,109,1
"Mon, Jan 11, 2021",Memphis Grizzlies,101,Cleveland Cavaliers,91,0
"Mon, Jan 11, 2021",Milwaukee Bucks,121,Orlando Magic,99,0
"Mon, Jan 11, 2021",Phoenix Suns,107,Washington Wizards,128,1
"Mon, Jan 11, 2021",Philadelphia 76ers,94,Atlanta Hawks,112,1
"Mon, Jan 11, 2021",Toronto Raptors,111,Portland Trail Blazers,112,1
"Mon, Jan 11, 2021",Indiana Pacers,122,Sacramento Kings,127,1
"Tue, Jan 12, 2021",Miami Heat,134,Philadelphia 76ers,137,1
"Tue, Jan 12, 2021",Denver Nuggets,116,Brooklyn Nets,122,1
"Tue, Jan 12, 2021",Utah Jazz,117,Cleveland Cavaliers,87,0
"Tue, Jan 12, 2021",Los Angeles Lakers,117,Houston Rockets,100,0
"Tue, Jan 12, 2021",San Antonio Spurs,112,Oklahoma City Thunder,102,0
"Tue, Jan 12, 2021",Indiana Pacers,104,Golden State Warriors,95,0
"Wed, Jan 13, 2021",Dallas Mavericks,104,Charlotte Hornets,93,0
"Wed, Jan 13, 2021",Milwaukee Bucks,110,Detroit Pistons,101,0
"Wed, Jan 13, 2021",Brooklyn Nets,116,New York Knicks,109,0
"Wed, Jan 13, 2021",Memphis Grizzlies,118,Minnesota Timberwolves,107,0
"Wed, Jan 13, 2021",Los Angeles Lakers,128,Oklahoma City Thunder,99,0
"Wed, Jan 13, 2021",New Orleans Pelicans,106,Los Angeles Clippers,111,1
"Wed, Jan 13, 2021",Portland Trail Blazers,132,Sacramento Kings,126,0
"Thu, Jan 14, 2021",Miami Heat,108,Philadelphia 76ers,125,1
"Thu, Jan 14, 2021",Houston Rockets,109,San Antonio Spurs,105,0
"Thu, Jan 14, 2021",Charlotte Hornets,108,Toronto Raptors,111,1
"Thu, Jan 14, 2021",Golden State Warriors,104,Denver Nuggets,114,1
"Thu, Jan 14, 2021",Indiana Pacers,111,Portland Trail Blazers,87,0
"Fri, Jan 15, 2021",Orlando Magic,97,Boston Celtics,124,1
"Fri, Jan 15, 2021",New York Knicks,103,Cleveland Cavaliers,106,1
"Fri, Jan 15, 2021",Dallas Mavericks,109,Milwaukee Bucks,112,1
"Fri, Jan 15, 2021",Chicago Bulls,125,Oklahoma City Thunder,127,1
"Fri, Jan 15, 2021",Atlanta Hawks,92,Utah Jazz,116,1
"Fri, Jan 15, 2021",New Orleans Pelicans,95,Los Angeles Lakers,112,1
"Fri, Jan 15, 2021",Los Angeles Clippers,138,Sacramento Kings,100,0
"Sat, Jan 16, 2021",Houston Rockets,91,San Antonio Spurs,103,1
"Sat, Jan 16, 2021",Orlando Magic,115,Brooklyn Nets,122,1
"Sat, Jan 16, 2021",Charlotte Hornets,113,Toronto Raptors,116,1
"Sat, Jan 16, 2021",Philadelphia 76ers,104,Memphis Grizzlies,106,1
"Sat, Jan 16, 2021",Detroit Pistons,120,Miami Heat,100,0
"Sat, Jan 16, 2021",Atlanta Hawks,106,Portland Trail Blazers,112,1
"Sun, Jan 17, 2021",New York Knicks,105,Boston Celtics,75,0
"Sun, Jan 17, 2021",Chicago Bulls,117,Dallas Mavericks,101,0
"Sun, Jan 17, 2021",Utah Jazz,109,Denver Nuggets,105,0
"Sun, Jan 17, 2021",New Orleans Pelicans,128,Sacramento Kings,123,0
"Sun, Jan 17, 2021",Indiana Pacers,96,Los Angeles Clippers,129,1
"Mon, Jan 18, 2021",Orlando Magic,84,New York Knicks,91,1
"Mon, Jan 18, 2021",Minnesota Timberwolves,97,Atlanta Hawks,108,1
"Mon, Jan 18, 2021",San Antonio Spurs,125,Portland Trail Blazers,104,0
"Mon, Jan 18, 2021",Phoenix Suns,104,Memphis Grizzlies,108,1
"Mon, Jan 18, 2021",Milwaukee Bucks,123,Brooklyn Nets,125,1
"Mon, Jan 18, 2021",Dallas Mavericks,93,Toronto Raptors,116,1
"Mon, Jan 18, 2021",Houston Rockets,120,Chicago Bulls,125,1
"Mon, Jan 18, 2021",Detroit Pistons,107,Miami Heat,113,1
"Mon, Jan 18, 2021",Golden State Warriors,115,Los Angeles Lakers,113,0
"Tue, Jan 19, 2021",Oklahoma City Thunder,101,Denver Nuggets,119,1
"Tue, Jan 19, 2021",New Orleans Pelicans,102,Utah Jazz,118,1
"Wed, Jan 20, 2021",Brooklyn Nets,135,Cleveland Cavaliers,147,1
"Wed, Jan 20, 2021",Dallas Mavericks,124,Indiana Pacers,112,0
"Wed, Jan 20, 2021",Boston Celtics,109,Philadelphia 76ers,117,1
"Wed, Jan 20, 2021",Detroit Pistons,115,Atlanta Hawks,123,1
"Wed, Jan 20, 2021",Miami Heat,111,Toronto Raptors,102,0
"Wed, Jan 20, 2021",Orlando Magic,97,Minnesota Timberwolves,96,0
"Wed, Jan 20, 2021",Phoenix Suns,109,Houston Rockets,103,0
"Wed, Jan 20, 2021",San Antonio Spurs,99,Golden State Warriors,121,1
"Wed, Jan 20, 2021",Sacramento Kings,96,Los Angeles Clippers,115,1
"Thu, Jan 21, 2021",Los Angeles Lakers,113,Milwaukee Bucks,106,0
"Thu, Jan 21, 2021",New York Knicks,119,Golden State Warriors,104,0
"Thu, Jan 21, 2021",New Orleans Pelicans,118,Utah Jazz,129,1
"Fri, Jan 22, 2021",Chicago Bulls,123,Charlotte Hornets,110,0
"Fri, Jan 22, 2021",Houston Rockets,103,Detroit Pistons,102,0
"Fri, Jan 22, 2021",Orlando Magic,118,Indiana Pacers,120,1
"Fri, Jan 22, 2021",Brooklyn Nets,113,Cleveland Cavaliers,125,1
"Fri, Jan 22, 2021",Boston Celtics,110,Philadelphia 76ers,122,1
"Fri, Jan 22, 2021",Miami Heat,81,Toronto Raptors,101,1
"Fri, Jan 22, 2021",Atlanta Hawks,116,Minnesota Timberwolves,98,0
"Fri, Jan 22, 2021",Dallas Mavericks,122,San Antonio Spurs,117,0
"Fri, Jan 22, 2021",Oklahoma City Thunder,106,Los Angeles Clippers,120,1
"Fri, Jan 22, 2021",Denver Nuggets,130,Phoenix Suns,126,0
"Fri, Jan 22, 2021",New York Knicks,94,Sacramento Kings,103,1
"Sat, Jan 23, 2021",Miami Heat,124,Brooklyn Nets,128,1
"Sat, Jan 23, 2021",Philadelphia 76ers,114,Detroit Pistons,110,0
"Sat, Jan 23, 2021",New Orleans Pelicans,110,Minnesota Timberwolves,120,1
"Sat, Jan 23, 2021",Los Angeles Lakers,101,Chicago Bulls,90,0
"Sat, Jan 23, 2021",Houston Rockets,133,Dallas Mavericks,108,0
"Sat, Jan 23, 2021",Denver Nuggets,120,Phoenix Suns,112,0
"Sat, Jan 23, 2021",Golden State Warriors,108,Utah Jazz,127,1
"Sun, Jan 24, 2021",Toronto Raptors,107,Indiana Pacers,102,0
"Sun, Jan 24, 2021",Oklahoma City Thunder,100,Los Angeles Clippers,108,1
"Sun, Jan 24, 2021",Cleveland Cavaliers,103,Boston Celtics,141,1
"Sun, Jan 24, 2021",Charlotte Hornets,107,Orlando Magic,104,0
"Sun, Jan 24, 2021",Atlanta Hawks,115,Milwaukee Bucks,129,1
"Sun, Jan 24, 2021",Washington Wizards,101,San Antonio Spurs,121,1
"Sun, Jan 24, 2021",New York Knicks,113,Portland Trail Blazers,116,1
"Mon, Jan 25, 2021",Philadelphia 76ers,104,Detroit Pistons,119,1
"Mon, Jan 25, 2021",Toronto Raptors,114,Indiana Pacers,129,1
"Mon, Jan 25, 2021",Charlotte Hornets,108,Orlando Magic,117,1
"Mon, Jan 25, 2021",Miami Heat,85,Brooklyn Nets,98,1
"Mon, Jan 25, 2021",Los Angeles Lakers,115,Cleveland Cavaliers,108,0
"Mon, Jan 25, 2021",Denver Nuggets,117,Dallas Mavericks,113,0
"Mon, Jan 25, 2021",Boston Celtics,119,Chicago Bulls,103,0
"Mon, Jan 25, 2021",Minnesota Timberwolves,108,Golden State Warriors,130,1
"Mon, Jan 25, 2021",Oklahoma City Thunder,125,Portland Trail Blazers,122,0
"Tue, Jan 26, 2021",Los Angeles Clippers,99,Atlanta Hawks,108,1
"Tue, Jan 26, 2021",Washington Wizards,88,Houston Rockets,107,1
"Tue, Jan 26, 2021",New York Knicks,94,Utah Jazz,108,1
"Wed, Jan 27, 2021",Indiana Pacers,116,Charlotte Hornets,106,0
"Wed, Jan 27, 2021",Detroit Pistons,107,Cleveland Cavaliers,122,1
"Wed, Jan 27, 2021",Sacramento Kings,121,Orlando Magic,107,0
"Wed, Jan 27, 2021",Brooklyn Nets,132,Atlanta Hawks,128,0
"Wed, Jan 27, 2021",Denver Nuggets,109,Miami Heat,82,0
"Wed, Jan 27, 2021",Los Angeles Lakers,106,Philadelphia 76ers,107,1
"Wed, Jan 27, 2021",Milwaukee Bucks,115,Toronto Raptors,108,0
"Wed, Jan 27, 2021",Boston Celtics,106,San Antonio Spurs,110,1
"Wed, Jan 27, 2021",Washington Wizards,106,New Orleans Pelicans,124,1
"Wed, Jan 27, 2021",Oklahoma City Thunder,102,Phoenix Suns,97,0
"Wed, Jan 27, 2021",Dallas Mavericks,104,Utah Jazz,116,1
"Wed, Jan 27, 2021",Minnesota Timberwolves,111,Golden State Warriors,123,1
"Thu, Jan 28, 2021",Portland Trail Blazers,101,Houston Rockets,104,1
"Thu, Jan 28, 2021",Los Angeles Lakers,92,Detroit Pistons,107,1
"Thu, Jan 28, 2021",Los Angeles Clippers,109,Miami Heat,105,0
"Thu, Jan 28, 2021",Golden State Warriors,93,Phoenix Suns,114,1
"Fri, Jan 29, 2021",Indiana Pacers,105,Charlotte Hornets,108,1
"Fri, Jan 29, 2021",Atlanta Hawks,116,Washington Wizards,100,0
"Fri, Jan 29, 2021",Milwaukee Bucks,126,New Orleans Pelicans,131,1
"Fri, Jan 29, 2021",Cleveland Cavaliers,81,New York Knicks,102,1
"Fri, Jan 29, 2021",Sacramento Kings,126,Toronto Raptors,124,0
"Fri, Jan 29, 2021",Philadelphia 76ers,118,Minnesota Timberwolves,94,0
"Fri, Jan 29, 2021",Brooklyn Nets,147,Oklahoma City Thunder,125,0
"Fri, Jan 29, 2021",Los Angeles Clippers,116,Orlando Magic,90,0
"Fri, Jan 29, 2021",Denver Nuggets,109,San Antonio Spurs,119,1
"Fri, Jan 29, 2021",Dallas Mavericks,101,Utah Jazz,120,1
"Sat, Jan 30, 2021",Portland Trail Blazers,123,Chicago Bulls,122,0
"Sat, Jan 30, 2021",Milwaukee Bucks,114,Charlotte Hornets,126,1
"Sat, Jan 30, 2021",Sacramento Kings,104,Miami Heat,105,1
"Sat, Jan 30, 2021",Houston Rockets,126,New Orleans Pelicans,112,0
"Sat, Jan 30, 2021",Los Angeles Lakers,96,Boston Celtics,95,0
"Sat, Jan 30, 2021",Memphis Grizzlies,129,San Antonio Spurs,112,0
"Sat, Jan 30, 2021",Phoenix Suns,111,Dallas Mavericks,105,0
"Sat, Jan 30, 2021",Detroit Pistons,91,Golden State Warriors,118,1
"Sun, Jan 31, 2021",Los Angeles Clippers,129,New York Knicks,115,0
"Sun, Jan 31, 2021",Utah Jazz,117,Denver Nuggets,128,1
"Sun, Jan 31, 2021",Philadelphia 76ers,119,Indiana Pacers,110,0
"Sun, Jan 31, 2021",Orlando Magic,102,Toronto Raptors,115,1
"Sun, Jan 31, 2021",Brooklyn Nets,146,Washington Wizards,149,1
"Sun, Jan 31, 2021",Cleveland Cavaliers,104,Minnesota Timberwolves,109,1